img_path,1,2,3,4
/opt/ml/input/data/train/images/001057_female_Asian_25/mask5.jpg,85,177,283,422
/opt/ml/input/data/train/images/001057_female_Asian_25/mask3.jpg,78,107,296,393
/opt/ml/input/data/train/images/001057_female_Asian_25/normal.jpg,106,156,292,406
/opt/ml/input/data/train/images/001057_female_Asian_25/mask2.jpg,99,118,313,397
/opt/ml/input/data/train/images/001057_female_Asian_25/mask1.jpg,88,67,312,367
/opt/ml/input/data/train/images/001057_female_Asian_25/incorrect_mask.jpg,69,85,279,372
/opt/ml/input/data/train/images/001057_female_Asian_25/mask4.jpg,79,135,300,421
/opt/ml/input/data/train/images/001127_male_Asian_18/mask5.jpg,105,142,267,315
/opt/ml/input/data/train/images/001127_male_Asian_18/mask3.jpg,103,132,264,315
/opt/ml/input/data/train/images/001127_male_Asian_18/normal.jpg,111,140,248,318
/opt/ml/input/data/train/images/001127_male_Asian_18/mask2.jpg,118,156,263,336
/opt/ml/input/data/train/images/001127_male_Asian_18/mask1.jpg,104,125,268,314
/opt/ml/input/data/train/images/001127_male_Asian_18/incorrect_mask.jpg,108,140,266,355
/opt/ml/input/data/train/images/001127_male_Asian_18/mask4.jpg,109,143,263,326
/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,113,160,251,342
/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,99,131,229,308
/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,122,146,248,328
/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,122,153,253,330
/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,103,159,249,358
/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,121,131,254,319
/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,112,137,245,317
/opt/ml/input/data/train/images/001728_female_Asian_38/mask5.jpg,103,157,273,379
/opt/ml/input/data/train/images/001728_female_Asian_38/mask3.jpg,115,186,272,385
/opt/ml/input/data/train/images/001728_female_Asian_38/normal.jpg,116,180,242,357
/opt/ml/input/data/train/images/001728_female_Asian_38/mask2.jpg,112,165,287,382
/opt/ml/input/data/train/images/001728_female_Asian_38/mask1.jpg,93,156,281,416
/opt/ml/input/data/train/images/001728_female_Asian_38/incorrect_mask.jpg,105,155,254,368
/opt/ml/input/data/train/images/001728_female_Asian_38/mask4.jpg,99,162,264,382
/opt/ml/input/data/train/images/004322_female_Asian_60/mask5.jpg,110,178,258,360
/opt/ml/input/data/train/images/004322_female_Asian_60/mask3.jpg,125,160,265,339
/opt/ml/input/data/train/images/004322_female_Asian_60/normal.jpg,134,191,242,338
/opt/ml/input/data/train/images/004322_female_Asian_60/mask2.jpg,122,160,269,352
/opt/ml/input/data/train/images/004322_female_Asian_60/mask1.jpg,124,186,263,365
/opt/ml/input/data/train/images/004322_female_Asian_60/incorrect_mask.jpg,106,157,251,347
/opt/ml/input/data/train/images/004322_female_Asian_60/mask4.jpg,122,164,272,345
/opt/ml/input/data/train/images/003517_male_Asian_58/mask5.jpg,114,124,273,335
/opt/ml/input/data/train/images/003517_male_Asian_58/mask3.jpg,114,132,270,342
/opt/ml/input/data/train/images/003517_male_Asian_58/normal.jpg,115,130,267,352
/opt/ml/input/data/train/images/003517_male_Asian_58/mask2.jpg,112,138,266,328
/opt/ml/input/data/train/images/003517_male_Asian_58/mask1.jpg,112,140,279,354
/opt/ml/input/data/train/images/003517_male_Asian_58/incorrect_mask.jpg,108,129,268,367
/opt/ml/input/data/train/images/003517_male_Asian_58/mask4.jpg,109,152,264,344
/opt/ml/input/data/train/images/003448_female_Asian_54/mask5.jpg,100,133,281,369
/opt/ml/input/data/train/images/003448_female_Asian_54/mask3.jpg,107,138,269,354
/opt/ml/input/data/train/images/003448_female_Asian_54/normal.jpg,115,148,257,345
/opt/ml/input/data/train/images/003448_female_Asian_54/mask2.jpg,107,147,292,396
/opt/ml/input/data/train/images/003448_female_Asian_54/mask1.jpg,108,143,279,367
/opt/ml/input/data/train/images/003448_female_Asian_54/incorrect_mask.jpg,100,156,279,405
/opt/ml/input/data/train/images/003448_female_Asian_54/mask4.jpg,116,145,275,365
/opt/ml/input/data/train/images/003325_female_Asian_19/mask5.jpg,113,122,275,324
/opt/ml/input/data/train/images/003325_female_Asian_19/mask3.jpg,101,126,295,379
/opt/ml/input/data/train/images/003325_female_Asian_19/normal.jpg,108,125,277,341
/opt/ml/input/data/train/images/003325_female_Asian_19/mask2.jpg,105,125,295,354
/opt/ml/input/data/train/images/003325_female_Asian_19/mask1.jpg,100,103,279,330
/opt/ml/input/data/train/images/003325_female_Asian_19/incorrect_mask.jpg,114,110,282,330
/opt/ml/input/data/train/images/003325_female_Asian_19/mask4.jpg,103,121,281,351
/opt/ml/input/data/train/images/003329_female_Asian_19/mask5.jpg,110,137,253,298
/opt/ml/input/data/train/images/003329_female_Asian_19/mask3.jpg,110,122,266,336
/opt/ml/input/data/train/images/003329_female_Asian_19/normal.jpg,123,118,271,311
/opt/ml/input/data/train/images/003329_female_Asian_19/mask2.jpg,105,122,267,322
/opt/ml/input/data/train/images/003329_female_Asian_19/mask1.jpg,99,136,248,314
/opt/ml/input/data/train/images/003329_female_Asian_19/incorrect_mask.jpg,111,137,281,359
/opt/ml/input/data/train/images/003329_female_Asian_19/mask4.jpg,118,106,285,314
/opt/ml/input/data/train/images/003305_female_Asian_19/mask5.jpg,113,96,253,263
/opt/ml/input/data/train/images/003305_female_Asian_19/mask3.jpg,108,123,255,314
/opt/ml/input/data/train/images/003305_female_Asian_19/normal.jpg,115,125,256,321
/opt/ml/input/data/train/images/003305_female_Asian_19/mask2.jpg,123,111,265,296
/opt/ml/input/data/train/images/003305_female_Asian_19/mask1.jpg,122,97,272,286
/opt/ml/input/data/train/images/003305_female_Asian_19/incorrect_mask.jpg,120,122,268,334
/opt/ml/input/data/train/images/003305_female_Asian_19/mask4.jpg,97,120,258,327
/opt/ml/input/data/train/images/003231_female_Asian_19/mask5.jpg,137,206,241,345
/opt/ml/input/data/train/images/003231_female_Asian_19/mask3.jpg,124,151,262,329
/opt/ml/input/data/train/images/003231_female_Asian_19/normal.jpg,155,210,256,343
/opt/ml/input/data/train/images/003231_female_Asian_19/mask2.jpg,124,161,248,327
/opt/ml/input/data/train/images/003231_female_Asian_19/mask1.jpg,136,170,245,314
/opt/ml/input/data/train/images/003231_female_Asian_19/incorrect_mask.jpg,121,158,247,323
/opt/ml/input/data/train/images/003231_female_Asian_19/mask4.jpg,152,157,276,323
/opt/ml/input/data/train/images/001136_male_Asian_26/mask5.jpg,140,0,247,91
/opt/ml/input/data/train/images/001136_male_Asian_26/mask3.jpg,0,0,91,111
/opt/ml/input/data/train/images/001136_male_Asian_26/normal.jpg,141,0,249,73
/opt/ml/input/data/train/images/001136_male_Asian_26/mask2.jpg,156,194,256,329
/opt/ml/input/data/train/images/001136_male_Asian_26/mask1.jpg,136,0,256,104
/opt/ml/input/data/train/images/001136_male_Asian_26/incorrect_mask.jpg,0,0,87,121
/opt/ml/input/data/train/images/001136_male_Asian_26/mask4.jpg,119,175,247,338
/opt/ml/input/data/train/images/001800_female_Asian_54/mask5.jpg,115,166,271,351
/opt/ml/input/data/train/images/001800_female_Asian_54/mask3.jpg,118,170,263,348
/opt/ml/input/data/train/images/001800_female_Asian_54/normal.jpg,115,177,265,366
/opt/ml/input/data/train/images/001800_female_Asian_54/mask2.jpg,120,181,267,354
/opt/ml/input/data/train/images/001800_female_Asian_54/mask1.jpg,125,180,270,348
/opt/ml/input/data/train/images/001800_female_Asian_54/incorrect_mask.jpg,118,171,266,363
/opt/ml/input/data/train/images/001800_female_Asian_54/mask4.jpg,122,184,264,352
/opt/ml/input/data/train/images/003435_female_Asian_52/mask5.jpg,101,145,321,431
